parametro,PC1,PC2,PC3,PC4
CO,-0.41908890811703203,-0.28334965687671665,0.35173532604003943,-0.5994190930845748
NO,-0.4454098267878065,-0.18031433046559125,-0.11949077960132826,0.638893250350576
NO2,-0.44378809441298744,-0.03956581334986824,0.31226314949120487,-0.11607999028949006
NOX,-0.4691006971438479,-0.12701030829113327,0.07737613369972661,0.31110467280340204
O3,0.38986743116891714,-0.14444294315545214,0.8371622165995433,0.34806823407323106
SO2,-0.2386935747026429,0.9212159781239896,0.2401422422386972,0.03316607220587331
